no,song,song_kana_old,song_kana,author,author_kana
71,夕されば　門田（かどた）の稲葉（いなば）　おとづ（ず）れて　蘆（あし）のまろやに　秋風ぞ吹（ふ）く,ゆうされば　かどたのいなば　おとずれて　あしのまろやに　あきかぜぞふく,ゆふされば　かどたのいなば　おとづれて　あしのまろやに　あきかぜぞふく,大納言経信,だいなごんつねのぶ
72,音に聞く　高師（たかし）の浜（はま）の　あだ波は　かけじや袖（そで）の　ぬれもこそすれ,おとにきく　たかしのはまの　あだなみは　かけじやそでの　ぬれもこそすれ,おとにきく　たかしのはまの　あだなみは　かけじやそでの　ぬれもこそすれ,祐子内親王家紀伊,ゆうしないしんのうけのきい
73,高砂（たかさご）の　を（お）のへ（え）のさくら　さきにけり　とやまのかすみ　たたずもあらなむ（ん）,たかさごの　おのえのさくら　さきにけり　とやまのかすみ　たたずもあらなん,たかさごの　をのへのさくら　さきにけり　とやまのかすみ　たたずもあらなむ,前権中納言匡房,さきのごんちゅうなごんまさふさ
74,憂（う）かりける　人を初瀬（はつせ）の　山おろしよ　はげしかれとは　祈（いの）らぬものを,うかりける　ひとをはつせの　やまおろしよ　はげしかれとは　いのらぬものを,うかりける　ひとをはつせの　やまおろしよ　はげしかれとは　いのらぬものを,源俊頼朝臣,みなもとのとしよりあそん
75,ちぎりおきし　させもが露（つゆ）を　いのちにて　あは（わ）れ今年の　秋もいぬめり,ちぎりおきし　させもがつゆを　いのちにて　あわれことしの　あきもいぬめり,ちぎりおきし　させもがつゆを　いのちにて　あはれことしの　あきもいぬめり,藤原基俊,ふじわらのもととし
76,わたの原　こぎいでてみれば　久方（ひさかた）の　雲いにまがふ（う）　沖（おき）つ白波（しらなみ）,わたのはら　こぎいでてみれば　ひさかたの　くもいにまごう　おきつしらなみ,わたのはら　こぎいでてみれば　ひさかたの　くもゐにまがふ　おきつしらなみ,法性寺入道前関白太政大臣,ほつしょうじにゅうどうさきのかんぱくだじょうだいじん
77,瀬（せ）をはやみ　岩にせかるる　滝川（たきがわ）の　われても末（すえ）に　あはむ（ん）とぞ思ふ（う）,せをはやみ　いわにせかるる　たきがわの　われてもすえに　あわんとぞおもう,せをはやみ　いはにせかるる　たきがはの　われてもすゑに　あはむとぞおもふ,崇徳院,すとくいん
78,淡路島（あわじしま）　かよふ（う）千鳥の　なく声に　幾夜（いくよ）ねざめぬ　須磨（すま）の関守（せきもり）,あわじしま　かようちどりの　なくこえに　いくよねざめぬ　すまのせきもり,あはぢしま　かよふちどりの　なくこゑに　いくよれざめぬ　すまのせきもり,源兼昌,みなもとのかねまさ
79,秋風に　たなびく雲の　たえ間より　もれいづ（ず）る月の　影（かげ）のさやけさ,あきかぜに　たなびくくもの　たえまより　もれいずるつきの　かげのさやけさ,あきかぜに　たなびくくもの　たえまより　もれいづるつきの　かげのさやけさ,左京大夫顕輔,さきょうのだいぶあきすけ
80,長からむ（ん）　心もしらず　黒髪（くろかみ）の　みだれてけさは　ものをこそ思へ（え）,ながからん　こころもしらず　くろかみの　みだれてけさは　ものをこそおもえ,ながから　こころもしらず　くろかみの　みだれてけさは　ものをこそおもへ,待賢門院堀河,たいけんもんいんほりかわ
81,ほととぎす　鳴きつる方（かた）を　ながれむれば　ただありあけの　月ぞ残れる,ほととぎす　なきつるかたを　ながむれば　ただありあけの　つきぞのこれる,ほととぎす　なきつるかたを　ながむれば　ただありあけの　つきぞのこれる,後徳大寺左大臣,ごとくだいじさだいじん
82,思ひ（い）わび　さてもいのちは　あるものを　憂（う）きにたへ（え）ぬは　涙（なみだ）なりけり,おもいわび　さてもいのちは　あるものを　うきにたえぬは　なみだなりけり,おもひわび　さてもいのちは　あるものを　うきにたへぬは　なみだなりけり,道因法師,どういんほうし
